COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Tina Clinton,Rep Matthew J. Kolodoski,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,167,PCT 167,5230,3582,0,1798,1503,0,281,Dem Tina Clinton,Dem
COLL,168,PCT 168,1966,1418,0,390,925,0,103,Rep Matthew J. Kolodoski,Rep
COLL,169,PCT 169,3534,2485,2,1116,1168,0,201,Rep Matthew J. Kolodoski,Rep
COLL,17,PCT 017,5847,3902,0,1347,2284,0,271,Rep Matthew J. Kolodoski,Rep
COLL,170,PCT 170,1921,1364,0,470,795,0,99,Rep Matthew J. Kolodoski,Rep
COLL,171,PCT 171,2980,1965,0,862,909,0,194,Rep Matthew J. Kolodoski,Rep
COLL,172,PCT 172,2941,2202,0,653,1423,0,126,Rep Matthew J. Kolodoski,Rep
COLL,173,PCT 173,645,492,0,131,324,0,37,Rep Matthew J. Kolodoski,Rep
COLL,174,PCT 174,4648,2951,2,1131,1605,0,215,Rep Matthew J. Kolodoski,Rep
COLL,175,PCT 175,2083,1492,1,508,874,0,110,Rep Matthew J. Kolodoski,Rep
COLL,176,PCT 176,4064,2194,0,1104,914,0,176,Dem Tina Clinton,Dem
COLL,177,PCT 177,3532,2228,0,806,1271,0,151,Rep Matthew J. Kolodoski,Rep
COLL,178,PCT 178,3375,2404,1,616,1639,0,149,Rep Matthew J. Kolodoski,Rep
COLL,179,PCT 179,4704,3766,0,949,2568,0,249,Rep Matthew J. Kolodoski,Rep
COLL,18,PCT 018,1012,671,0,111,516,0,44,Rep Matthew J. Kolodoski,Rep
COLL,180,PCT 180,3492,2359,1,966,1186,0,207,Rep Matthew J. Kolodoski,Rep
COLL,181,PCT 181,3166,2049,0,699,1211,0,139,Rep Matthew J. Kolodoski,Rep
COLL,182,PCT 182,4037,2765,1,1171,1366,0,228,Rep Matthew J. Kolodoski,Rep
COLL,183,PCT 183,117,80,0,13,60,0,7,Rep Matthew J. Kolodoski,Rep
COLL,184,PCT 184,3360,1910,0,904,855,0,151,Dem Tina Clinton,Dem
COLL,185,PCT 185,54,40,0,13,18,0,9,Rep Matthew J. Kolodoski,Rep
COLL,186,PCT 186,148,89,0,14,67,0,8,Rep Matthew J. Kolodoski,Rep
COLL,187,PCT 187,616,447,0,48,371,0,28,Rep Matthew J. Kolodoski,Rep
COLL,188,PCT 188,76,60,0,8,50,0,2,Rep Matthew J. Kolodoski,Rep
COLL,189,PCT 189,1245,863,0,162,639,0,62,Rep Matthew J. Kolodoski,Rep
COLL,19,PCT 019,1611,1208,0,496,637,0,75,Rep Matthew J. Kolodoski,Rep
COLL,190,PCT 190,71,46,0,3,38,0,5,Rep Matthew J. Kolodoski,Rep
COLL,191,PCT 191,967,582,1,191,339,0,52,Rep Matthew J. Kolodoski,Rep
COLL,192,PCT 192,4881,3436,0,784,2399,0,253,Rep Matthew J. Kolodoski,Rep
COLL,193,PCT 193,1308,877,0,179,640,0,58,Rep Matthew J. Kolodoski,Rep
COLL,194,PCT 194,33,19,0,3,13,0,3,Rep Matthew J. Kolodoski,Rep
COLL,195,PCT 195,935,674,0,141,485,0,48,Rep Matthew J. Kolodoski,Rep
COLL,196,PCT 196,2001,1352,0,509,731,0,112,Rep Matthew J. Kolodoski,Rep
COLL,197,PCT 197,1270,858,0,427,363,0,68,Dem Tina Clinton,Dem
COLL,198,PCT 198,129,90,0,8,75,0,7,Rep Matthew J. Kolodoski,Rep
COLL,199,PCT 199,4135,3196,0,833,2158,0,205,Rep Matthew J. Kolodoski,Rep
COLL,2,PCT 002,4987,2989,0,1319,1430,0,240,Rep Matthew J. Kolodoski,Rep
COLL,20,PCT 020,2184,1684,2,491,1077,0,116,Rep Matthew J. Kolodoski,Rep
COLL,200,PCT 200,2726,1894,0,517,1230,0,147,Rep Matthew J. Kolodoski,Rep
COLL,201,PCT 201,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,202,PCT 202,2,2,0,2,0,0,0,Dem Tina Clinton,Dem
COLL,203,PCT 203,3182,2344,0,752,1409,0,183,Rep Matthew J. Kolodoski,Rep
COLL,204,PCT 204,354,282,0,101,167,0,14,Rep Matthew J. Kolodoski,Rep
COLL,205,PCT 205,35,27,0,11,13,0,3,Rep Matthew J. Kolodoski,Rep
COLL,206,PCT 206,2002,1431,0,484,850,0,97,Rep Matthew J. Kolodoski,Rep
COLL,207,PCT 207,4081,2925,1,1027,1692,0,206,Rep Matthew J. Kolodoski,Rep
COLL,208,PCT 208,4359,3323,0,1079,2000,0,244,Rep Matthew J. Kolodoski,Rep
COLL,209,PCT 209,1208,876,0,305,507,0,64,Rep Matthew J. Kolodoski,Rep
COLL,21,PCT 021,4375,3105,2,1453,1455,0,197,Rep Matthew J. Kolodoski,Rep
COLL,210,PCT 210,1746,1290,0,617,550,0,123,Dem Tina Clinton,Dem
COLL,211,PCT 211,3433,2455,0,904,1321,0,230,Rep Matthew J. Kolodoski,Rep
COLL,212,PCT 212,2600,1945,0,847,930,0,168,Rep Matthew J. Kolodoski,Rep
COLL,213,PCT 213,3697,2611,0,1132,1265,0,214,Rep Matthew J. Kolodoski,Rep
COLL,214,PCT 214,4814,3722,0,805,2706,0,211,Rep Matthew J. Kolodoski,Rep
COLL,215,PCT 215,3503,2092,1,710,1201,0,181,Rep Matthew J. Kolodoski,Rep
COLL,216,PCT 216,4771,3565,0,970,2372,0,223,Rep Matthew J. Kolodoski,Rep
COLL,217,PCT 217,3140,2190,1,779,1257,0,154,Rep Matthew J. Kolodoski,Rep
COLL,218,PCT 218,4297,3093,1,1329,1540,0,224,Rep Matthew J. Kolodoski,Rep
COLL,219,PCT 219,4559,3137,1,1429,1482,0,226,Rep Matthew J. Kolodoski,Rep
COLL,22,PCT 022,4991,3634,0,667,2713,0,254,Rep Matthew J. Kolodoski,Rep
COLL,220,PCT 220,5576,3948,1,1806,1804,0,338,Dem Tina Clinton,Dem
COLL,221,PCT 221,5274,3776,0,1206,2269,0,301,Rep Matthew J. Kolodoski,Rep
COLL,222,PCT 222,3965,2870,1,1283,1382,0,205,Rep Matthew J. Kolodoski,Rep
COLL,223,PCT 223,2501,1839,0,794,925,0,120,Rep Matthew J. Kolodoski,Rep
COLL,224,PCT 224,3351,2568,1,598,1820,0,150,Rep Matthew J. Kolodoski,Rep
COLL,225,PCT 225,3945,2807,2,1304,1271,0,232,Dem Tina Clinton,Dem
COLL,226,PCT 226,4404,2945,0,1333,1372,0,240,Rep Matthew J. Kolodoski,Rep
COLL,227,PCT 227,4468,3160,0,1273,1640,0,247,Rep Matthew J. Kolodoski,Rep
COLL,228,PCT 228,6131,3843,1,1643,1854,0,346,Rep Matthew J. Kolodoski,Rep
COLL,229,PCT 229,2259,1494,0,691,684,0,119,Dem Tina Clinton,Dem
COLL,23,PCT 023,3580,1874,3,1167,538,0,169,Dem Tina Clinton,Dem
COLL,230,PCT 230,4953,3021,0,1399,1374,0,248,Dem Tina Clinton,Dem
COLL,231,PCT 231,3938,2850,0,1161,1499,0,190,Rep Matthew J. Kolodoski,Rep
COLL,232,PCT 232,3850,2755,0,1029,1534,0,192,Rep Matthew J. Kolodoski,Rep
COLL,233,PCT 233,2089,1443,0,513,820,0,110,Rep Matthew J. Kolodoski,Rep
COLL,234,PCT 234,3351,2585,0,1239,1153,0,193,Dem Tina Clinton,Dem
COLL,235,PCT 235,1916,1332,3,635,591,0,106,Dem Tina Clinton,Dem
COLL,236,PCT 236,3015,2217,1,730,1320,0,167,Rep Matthew J. Kolodoski,Rep
COLL,237,PCT 237,2345,1522,3,651,739,0,132,Rep Matthew J. Kolodoski,Rep
COLL,238,PCT 238,4043,2583,0,1253,1116,0,214,Dem Tina Clinton,Dem
COLL,239,PCT 239,4293,3051,0,799,2060,0,192,Rep Matthew J. Kolodoski,Rep
COLL,24,PCT 024,2229,1201,11,741,385,0,75,Dem Tina Clinton,Dem
COLL,240,PCT 240,4358,3212,0,821,2176,0,215,Rep Matthew J. Kolodoski,Rep
COLL,241,PCT 241,1549,1115,0,463,543,0,109,Rep Matthew J. Kolodoski,Rep
COLL,242,PCT 242,3578,2604,0,1042,1352,0,210,Rep Matthew J. Kolodoski,Rep
COLL,243,PCT 243,1684,1272,0,340,855,0,77,Rep Matthew J. Kolodoski,Rep
COLL,244,PCT 244,3235,2337,0,902,1254,0,181,Rep Matthew J. Kolodoski,Rep
COLL,245,PCT 245,2764,1651,0,678,837,0,136,Rep Matthew J. Kolodoski,Rep
COLL,246,PCT 246,2859,2137,1,881,1101,0,155,Rep Matthew J. Kolodoski,Rep
COLL,247,PCT 247,2436,1876,0,492,1273,0,111,Rep Matthew J. Kolodoski,Rep
COLL,248,PCT 248,2328,1645,0,673,830,0,142,Rep Matthew J. Kolodoski,Rep
COLL,249,PCT 249,4743,3053,0,1014,1824,0,215,Rep Matthew J. Kolodoski,Rep
COLL,25,PCT 025,4119,2900,1,1244,1349,0,307,Rep Matthew J. Kolodoski,Rep
COLL,250,PCT 250,3886,3025,0,1391,1354,0,280,Dem Tina Clinton,Dem
COLL,251,PCT 251,2568,1852,0,564,1172,0,116,Rep Matthew J. Kolodoski,Rep
COLL,252,PCT 252,3149,2338,0,619,1566,0,153,Rep Matthew J. Kolodoski,Rep
COLL,253,PB01,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,254,LB01,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,255,LB02,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,256,LB03,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,257,LB04,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,258,LB05,0,4,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,259,LB06,0,15,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,26,PCT 026,1280,739,0,329,371,0,39,Rep Matthew J. Kolodoski,Rep
COLL,260,LB07,0,11,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,261,LB08,0,14,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,262,LB09,0,6,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,263,LB10,0,1850,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,264,LB11,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,265,LB12,0,1,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,266,LB13,0,1,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,267,LB14,0,1,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,268,LB15,0,50,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,269,LB16,0,6,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,27,PCT 027,2812,1880,0,701,1031,0,148,Rep Matthew J. Kolodoski,Rep
COLL,270,LB17,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,271,LB18,0,1,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,272,LB19,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,273,LB20,0,12,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,274,LB21,0,3,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,275,LB22,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,276,LB23,0,77,0,32,40,0,5,Rep Matthew J. Kolodoski,Rep
COLL,277,LB24,0,1,0,0,0,0,1,Rep Matthew J. Kolodoski,Rep
COLL,278,LB25,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,279,LB26,0,1,0,1,0,0,0,Dem Tina Clinton,Dem
COLL,28,PCT 028,3641,2445,0,1143,1139,0,163,Dem Tina Clinton,Dem
COLL,280,LB27,0,4,0,2,2,0,0,Rep Matthew J. Kolodoski,Rep
COLL,281,LB28,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,282,LB29,0,1,0,0,1,0,0,Rep Matthew J. Kolodoski,Rep
COLL,283,LB30,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,284,LB31,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,285,LB32,0,5,0,1,4,0,0,Rep Matthew J. Kolodoski,Rep
COLL,286,LB33,0,4,2,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,287,LB34,0,1,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,288,LB35,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,289,LB36,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,29,PCT 029,5387,4048,2,1151,2619,0,278,Rep Matthew J. Kolodoski,Rep
COLL,290,LB37,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,291,LB38,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,292,LB39,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,293,LB40,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,294,LB41,0,20,0,7,11,0,2,Rep Matthew J. Kolodoski,Rep
COLL,295,LB42,0,1,0,0,1,0,0,Rep Matthew J. Kolodoski,Rep
COLL,296,LB43,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,297,LB44,0,13,0,4,8,0,1,Rep Matthew J. Kolodoski,Rep
COLL,298,LB45,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,299,LB46,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,3,PCT 003,2951,1363,2,775,439,0,149,Dem Tina Clinton,Dem
COLL,30,PCT 030,5018,3450,0,1312,1902,0,236,Rep Matthew J. Kolodoski,Rep
COLL,300,LB47,0,8,0,3,4,0,1,Rep Matthew J. Kolodoski,Rep
COLL,301,LB48,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,302,LB49,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,303,LB50,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,304,LB51,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,305,LB52,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,306,LB53,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,307,LB54,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,308,LB55,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,309,LB56,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,31,PCT 031,2067,1577,0,649,845,0,83,Rep Matthew J. Kolodoski,Rep
COLL,310,LB57,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,311,LB58,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,312,LB59,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,313,LB60,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,314,LB61,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,315,LB62,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,316,LB63,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,317,LB64,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,318,LB65,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,319,LB66,0,1,0,1,0,0,0,Dem Tina Clinton,Dem
COLL,32,PCT 032,2504,1865,0,781,949,0,135,Rep Matthew J. Kolodoski,Rep
COLL,320,LB67,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,321,LB68,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,322,LB69,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,323,LB70,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,324,LB71,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,325,LB72,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,326,LB73,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,327,LB74,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,328,LB75,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,329,LB76,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,33,PCT 033,6771,4814,1,1441,3018,0,355,Rep Matthew J. Kolodoski,Rep
COLL,330,LB77,0,0,0,0,0,0,0,Rep Matthew J. Kolodoski,Rep
COLL,34,PCT 034,4401,3041,2,1541,1271,0,229,Dem Tina Clinton,Dem
COLL,35,PCT 035,1861,1293,0,196,997,0,100,Rep Matthew J. Kolodoski,Rep
COLL,36,PCT 036,1966,1503,14,502,909,0,92,Rep Matthew J. Kolodoski,Rep
COLL,37,PCT 037,2779,1966,0,276,1567,0,123,Rep Matthew J. Kolodoski,Rep
COLL,38,PCT 038,3899,2387,0,1107,1075,0,205,Dem Tina Clinton,Dem
COLL,39,PCT 039,3035,1905,1,977,772,0,156,Dem Tina Clinton,Dem
COLL,4,PCT 004,3793,2858,2,844,1825,0,189,Rep Matthew J. Kolodoski,Rep
COLL,40,PCT 040,3639,2556,0,861,1530,0,165,Rep Matthew J. Kolodoski,Rep
COLL,41,PCT 041,5161,3826,1,1184,2399,0,243,Rep Matthew J. Kolodoski,Rep
COLL,42,PCT 042,2302,1548,0,361,1086,0,101,Rep Matthew J. Kolodoski,Rep
COLL,43,PCT 043,3543,2121,0,978,967,0,176,Dem Tina Clinton,Dem
COLL,44,PCT 044,1697,924,1,401,430,0,93,Rep Matthew J. Kolodoski,Rep
COLL,45,PCT 045,3501,2475,0,889,1427,1,158,Rep Matthew J. Kolodoski,Rep
COLL,46,PCT 046,3182,1797,1,933,690,0,174,Dem Tina Clinton,Dem
COLL,47,PCT 047,2634,1822,1,909,795,0,118,Dem Tina Clinton,Dem
COLL,48,PCT 048,3837,2712,0,1357,1204,0,151,Dem Tina Clinton,Dem
COLL,49,PCT 049,2425,1806,0,766,908,0,132,Rep Matthew J. Kolodoski,Rep
COLL,5,PCT 005,1043,733,3,219,459,0,55,Rep Matthew J. Kolodoski,Rep
COLL,50,PCT 050,3289,1773,1,962,619,0,192,Dem Tina Clinton,Dem
COLL,51,PCT 051,1854,1006,0,520,392,0,94,Dem Tina Clinton,Dem
COLL,52,PCT 052,4768,2909,2,1394,1081,0,434,Dem Tina Clinton,Dem
COLL,53,PCT 053,2224,1662,0,733,823,0,106,Rep Matthew J. Kolodoski,Rep
COLL,54,PCT 054,3726,2254,1,1235,853,0,166,Dem Tina Clinton,Dem
COLL,55,PCT 055,4272,2791,0,1590,893,0,308,Dem Tina Clinton,Dem
COLL,56,PCT 056,3558,2429,2,850,1376,0,203,Rep Matthew J. Kolodoski,Rep
COLL,57,PCT 057,5279,3455,0,1368,1813,0,274,Rep Matthew J. Kolodoski,Rep
COLL,58,PCT 058,3671,2397,3,1182,1040,0,175,Dem Tina Clinton,Dem
COLL,59,PCT 059,4034,2725,0,1005,1493,0,227,Rep Matthew J. Kolodoski,Rep
COLL,6,PCT 006,1650,1109,0,541,494,0,74,Dem Tina Clinton,Dem
COLL,60,PCT 060,3282,2489,0,813,1482,0,194,Rep Matthew J. Kolodoski,Rep
COLL,61,PCT 061,1688,1214,0,494,647,0,73,Rep Matthew J. Kolodoski,Rep
COLL,62,PCT 062,2586,1763,1,898,745,0,120,Dem Tina Clinton,Dem
COLL,63,PCT 063,2074,1604,0,626,878,0,100,Rep Matthew J. Kolodoski,Rep
COLL,64,PCT 064,2695,1840,0,824,859,0,157,Rep Matthew J. Kolodoski,Rep
COLL,65,PCT 065,1249,847,1,392,396,0,59,Rep Matthew J. Kolodoski,Rep
COLL,66,PCT 066,2197,1497,0,680,712,0,105,Rep Matthew J. Kolodoski,Rep
COLL,67,PCT 067,3003,1995,1,929,898,0,168,Dem Tina Clinton,Dem
