COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Staci L. Weaver,Tamara Thomas,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,96,PCT 096,1390,100,0,48,33,0,19,Staci L. Weaver,Staci
COLLI,97,PCT 097,1301,484,0,233,89,0,162,Staci L. Weaver,Staci
COLLI,98,PCT 098,1569,154,0,65,48,0,41,Staci L. Weaver,Staci
COLLI,99,PCT 099,454,42,0,13,20,0,9,Tamara Thomas,Tamara
COLLI,100,PCT 100,1732,11,0,7,3,0,0,Staci L. Weaver,Staci
COLLI,101,PCT 101,4122,431,0,235,106,0,90,Staci L. Weaver,Staci
COLLI,102,PCT 102,2457,715,0,346,176,0,193,Staci L. Weaver,Staci
COLLI,103,PCT 103,1365,98,0,42,43,0,13,Tamara Thomas,Tamara
COLLI,104,PCT 104,2138,100,0,33,37,0,30,Tamara Thomas,Tamara
COLLI,105,PCT 105,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,106,PCT 106,1805,72,0,32,35,0,5,Tamara Thomas,Tamara
COLLI,107,PCT 107,3260,554,0,255,227,0,72,Staci L. Weaver,Staci
COLLI,108,PCT 108,2927,309,0,137,136,0,36,Staci L. Weaver,Staci
COLLI,109,PCT 109,4630,546,0,318,169,0,59,Staci L. Weaver,Staci
COLLI,110,PCT 110,2732,484,0,208,140,0,136,Staci L. Weaver,Staci
COLLI,111,PCT 111,2994,370,0,212,71,0,87,Staci L. Weaver,Staci
COLLI,112,PCT 112,3081,414,0,198,156,0,60,Staci L. Weaver,Staci
COLLI,113,PCT 113,3212,102,0,45,50,0,7,Tamara Thomas,Tamara
COLLI,114,PCT 114,4571,35,0,17,18,0,0,Tamara Thomas,Tamara
COLLI,115,PCT 115,2892,392,0,164,111,0,117,Staci L. Weaver,Staci
COLLI,116,PCT 116,4943,638,0,313,208,0,117,Staci L. Weaver,Staci
COLLI,117,PCT 117,4154,452,0,200,167,0,85,Staci L. Weaver,Staci
COLLI,118,PCT 118,4124,581,0,284,165,0,132,Staci L. Weaver,Staci
COLLI,119,PCT 119,2297,331,0,180,112,0,39,Staci L. Weaver,Staci
COLLI,120,PCT 120,3488,194,0,96,79,0,19,Staci L. Weaver,Staci
COLLI,121,PCT 121,2792,307,0,136,136,0,35,Staci L. Weaver,Staci
COLLI,122,PCT 122,4786,1042,0,529,228,0,285,Staci L. Weaver,Staci
COLLI,123,PCT 123,2000,214,0,100,80,0,34,Staci L. Weaver,Staci
COLLI,124,PCT 124,3092,301,0,135,124,0,42,Staci L. Weaver,Staci
COLLI,125,PCT 125,2178,319,0,117,102,0,99,Staci L. Weaver,Staci
COLLI,126,PCT 126,4824,717,0,326,297,0,94,Staci L. Weaver,Staci
COLLI,127,PCT 127,3831,455,0,230,139,0,86,Staci L. Weaver,Staci
COLLI,128,PCT 128,3073,868,0,382,116,0,370,Staci L. Weaver,Staci
COLLI,129,PCT 129,4378,667,0,307,211,0,149,Staci L. Weaver,Staci
COLLI,130,PCT 130,3851,225,0,74,130,0,21,Tamara Thomas,Tamara
COLLI,131,PCT 131,2976,601,0,278,154,0,169,Staci L. Weaver,Staci
COLLI,132,PCT 132,2725,322,0,131,103,0,88,Staci L. Weaver,Staci
COLLI,133,PCT 133,2867,140,0,89,23,0,28,Staci L. Weaver,Staci
COLLI,134,PCT 134,4030,439,0,206,157,0,76,Staci L. Weaver,Staci
COLLI,135,PCT 135,4083,390,0,162,182,0,46,Tamara Thomas,Tamara
COLLI,136,PCT 136,1901,304,0,105,96,0,103,Staci L. Weaver,Staci
COLLI,137,PCT 137,1951,225,0,144,58,0,23,Staci L. Weaver,Staci
COLLI,138,PCT 138,2381,275,0,121,129,0,25,Tamara Thomas,Tamara
COLLI,139,PCT 139,3814,383,0,163,171,0,49,Tamara Thomas,Tamara
COLLI,140,PCT 140,4611,938,0,457,282,0,199,Staci L. Weaver,Staci
COLLI,141,PCT 141,3441,508,0,221,234,0,53,Tamara Thomas,Tamara
COLLI,142,PCT 142,2675,444,0,184,135,0,125,Staci L. Weaver,Staci
COLLI,143,PCT 143,2043,203,0,104,65,0,34,Staci L. Weaver,Staci
COLLI,144,PCT 144,2846,499,0,271,153,0,75,Staci L. Weaver,Staci
COLLI,145,PCT 145,1706,75,0,27,40,0,8,Tamara Thomas,Tamara
COLLI,146,PCT 146,4694,521,0,255,173,0,93,Staci L. Weaver,Staci
COLLI,147,PCT 147,2102,56,0,30,22,0,4,Staci L. Weaver,Staci
COLLI,148,PCT 148,1208,256,0,60,109,0,87,Tamara Thomas,Tamara
COLLI,149,PCT 149,4479,919,0,429,287,0,203,Staci L. Weaver,Staci
COLLI,150,PCT 150,2276,135,0,59,61,0,15,Tamara Thomas,Tamara
COLLI,151,PCT 151,1825,66,0,23,34,0,9,Tamara Thomas,Tamara
COLLI,152,PCT 152,270,23,0,5,15,0,3,Tamara Thomas,Tamara
COLLI,153,PCT 153,1206,160,0,72,39,0,49,Staci L. Weaver,Staci
COLLI,154,PCT 154,2925,421,0,191,85,0,145,Staci L. Weaver,Staci
COLLI,155,PCT 155,2904,455,0,210,176,0,69,Staci L. Weaver,Staci
COLLI,156,PCT 156,3665,535,0,258,195,0,82,Staci L. Weaver,Staci
COLLI,157,PCT 157,4265,181,0,72,95,0,14,Tamara Thomas,Tamara
COLLI,158,PCT 158,2808,246,0,101,122,0,23,Tamara Thomas,Tamara
COLLI,159,PCT 159,3280,242,0,109,85,0,48,Staci L. Weaver,Staci
COLLI,160,PCT 160,546,53,0,25,14,0,14,Staci L. Weaver,Staci
COLLI,161,PCT 161,277,14,0,6,8,0,0,Tamara Thomas,Tamara
COLLI,162,PCT 162,904,43,0,23,14,0,6,Staci L. Weaver,Staci
COLLI,163,PCT 163,2103,205,0,96,70,0,39,Staci L. Weaver,Staci
COLLI,164,PCT 164,2290,328,0,133,116,0,79,Staci L. Weaver,Staci
COLLI,165,PCT 165,944,208,0,78,57,0,73,Staci L. Weaver,Staci
COLLI,166,PCT 166,4282,810,0,346,250,0,214,Staci L. Weaver,Staci
COLLI,167,PCT 167,2105,208,0,97,85,0,27,Staci L. Weaver,Staci
COLLI,168,PCT 168,1909,444,0,218,91,0,135,Staci L. Weaver,Staci
COLLI,169,PCT 169,3407,478,0,219,194,0,65,Staci L. Weaver,Staci
COLLI,170,PCT 170,1852,215,0,102,64,0,49,Staci L. Weaver,Staci
COLLI,171,PCT 171,2912,85,0,36,42,0,7,Tamara Thomas,Tamara
COLLI,172,PCT 172,3152,171,0,94,45,0,32,Staci L. Weaver,Staci
COLLI,173,PCT 173,613,197,0,111,40,0,46,Staci L. Weaver,Staci
COLLI,174,PCT 174,4506,259,0,155,63,0,41,Staci L. Weaver,Staci
COLLI,175,PCT 175,2045,246,0,123,69,0,54,Staci L. Weaver,Staci
COLLI,176,PCT 176,3706,122,0,47,60,0,15,Tamara Thomas,Tamara
COLLI,177,PCT 177,3447,229,0,130,49,0,50,Staci L. Weaver,Staci
COLLI,178,PCT 178,3314,294,0,143,61,0,90,Staci L. Weaver,Staci
COLLI,179,PCT 179,4574,1059,0,557,171,0,331,Staci L. Weaver,Staci
COLLI,180,PCT 180,3435,336,0,140,138,0,58,Staci L. Weaver,Staci
COLLI,181,PCT 181,3214,152,0,91,32,0,29,Staci L. Weaver,Staci
COLLI,182,PCT 182,3888,157,0,70,73,0,14,Tamara Thomas,Tamara
COLLI,183,PCT 183,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,184,PCT 184,3132,123,0,54,56,0,13,Tamara Thomas,Tamara
COLLI,185,PCT 185,3395,365,0,165,102,0,98,Staci L. Weaver,Staci
COLLI,186,PCT 186,753,104,0,50,22,0,32,Staci L. Weaver,Staci
COLLI,187,PCT 187,1075,65,0,34,22,0,9,Staci L. Weaver,Staci
COLLI,188,PCT 188,753,46,0,24,15,0,7,Staci L. Weaver,Staci
COLLI,189,PCT 189,1592,21,0,18,2,0,0,Staci L. Weaver,Staci
COLLI,190,PCT 190,1023,102,0,55,18,0,28,Staci L. Weaver,Staci
COLLI,191,PCT 191,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,192,PCT 192,4396,78,0,33,24,0,20,Staci L. Weaver,Staci
COLLI,193,PCT 193,1311,44,0,23,11,0,10,Staci L. Weaver,Staci
COLLI,194,PCT 194,3631,165,0,63,53,0,49,Staci L. Weaver,Staci
COLLI,195,PCT 195,887,106,0,56,26,0,24,Staci L. Weaver,Staci
COLLI,196,PCT 196,1945,160,0,89,40,0,31,Staci L. Weaver,Staci
COLLI,197,PCT 197,1239,117,0,45,62,0,10,Tamara Thomas,Tamara
COLLI,198,PCT 198,3266,194,0,85,87,0,22,Tamara Thomas,Tamara
COLLI,199,PCT 199,4140,397,0,209,61,0,127,Staci L. Weaver,Staci
COLLI,200,PCT 200,2919,352,0,156,82,0,114,Staci L. Weaver,Staci
COLLI,201,PCT 201,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,202,PCT 202,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,203,PCT 203,3026,680,0,308,179,0,193,Staci L. Weaver,Staci
COLLI,204,PCT 204,344,95,0,57,14,0,24,Staci L. Weaver,Staci
COLLI,205,PCT 205,4039,537,0,240,132,0,165,Staci L. Weaver,Staci
COLLI,206,PCT 206,1921,314,0,147,99,0,68,Staci L. Weaver,Staci
COLLI,207,PCT 207,3918,535,0,245,170,0,120,Staci L. Weaver,Staci
COLLI,208,PCT 208,4399,523,0,288,119,0,116,Staci L. Weaver,Staci
COLLI,209,PCT 209,164,18,0,6,8,0,3,Tamara Thomas,Tamara
COLLI,210,PCT 210,1722,485,0,158,180,0,147,Tamara Thomas,Tamara
COLLI,211,PCT 211,3321,492,0,242,141,0,109,Staci L. Weaver,Staci
COLLI,212,PCT 212,2580,492,0,259,150,0,83,Staci L. Weaver,Staci
COLLI,213,PCT 213,3574,420,0,172,174,0,74,Tamara Thomas,Tamara
COLLI,214,PCT 214,3720,369,0,200,66,0,104,Staci L. Weaver,Staci
COLLI,215,PCT 215,3591,22,0,8,14,0,0,Tamara Thomas,Tamara
COLLI,216,PCT 216,4794,794,0,411,144,0,239,Staci L. Weaver,Staci
COLLI,217,PCT 217,3075,197,0,107,52,0,38,Staci L. Weaver,Staci
COLLI,218,PCT 218,4195,142,0,61,68,0,13,Tamara Thomas,Tamara
COLLI,219,PCT 219,4482,193,0,86,101,0,6,Tamara Thomas,Tamara
COLLI,220,PCT 220,2490,382,0,156,160,0,66,Tamara Thomas,Tamara
COLLI,221,PCT 221,1976,374,0,200,88,0,86,Staci L. Weaver,Staci
COLLI,222,PCT 222,3875,209,0,107,81,0,21,Staci L. Weaver,Staci
COLLI,223,PCT 223,2490,121,0,61,55,0,5,Staci L. Weaver,Staci
COLLI,224,PCT 224,3284,289,0,164,44,0,81,Staci L. Weaver,Staci
COLLI,225,PCT 225,3829,651,0,275,264,0,112,Staci L. Weaver,Staci
COLLI,226,PCT 226,4259,482,0,201,211,0,70,Tamara Thomas,Tamara
COLLI,227,PCT 227,4356,223,0,100,97,0,26,Staci L. Weaver,Staci
COLLI,228,PCT 228,4763,24,0,11,13,0,0,Tamara Thomas,Tamara
COLLI,229,PCT 229,2313,202,0,107,53,0,42,Staci L. Weaver,Staci
COLLI,230,PCT 230,4713,387,0,148,170,0,69,Tamara Thomas,Tamara
COLLI,231,PCT 231,4150,621,0,297,221,0,103,Staci L. Weaver,Staci
COLLI,232,PCT 232,3810,198,0,87,79,0,32,Staci L. Weaver,Staci
COLLI,233,PCT 233,2065,96,0,45,34,0,17,Staci L. Weaver,Staci
COLLI,234,PCT 234,3403,620,0,278,200,0,142,Staci L. Weaver,Staci
COLLI,235,PCT 235,1903,202,0,79,84,0,39,Tamara Thomas,Tamara
COLLI,236,PCT 236,2898,632,0,309,168,0,155,Staci L. Weaver,Staci
COLLI,237,PCT 237,2314,165,0,58,64,0,43,Tamara Thomas,Tamara
COLLI,238,PCT 238,3858,328,0,133,143,0,52,Tamara Thomas,Tamara
COLLI,239,PCT 239,4102,371,0,178,61,0,132,Staci L. Weaver,Staci
COLLI,240,PCT 240,4435,430,0,201,103,0,126,Staci L. Weaver,Staci
COLLI,241,PCT 241,1502,324,0,136,107,0,81,Staci L. Weaver,Staci
COLLI,242,PCT 242,3455,471,0,200,167,0,104,Staci L. Weaver,Staci
COLLI,243,PCT 243,1642,232,0,105,35,0,92,Staci L. Weaver,Staci
COLLI,244,PCT 244,3131,497,0,223,163,0,111,Staci L. Weaver,Staci
COLLI,245,PCT 245,2585,173,0,68,67,0,38,Staci L. Weaver,Staci
COLLI,246,PCT 246,2768,449,0,240,149,0,60,Staci L. Weaver,Staci
COLLI,247,PCT 247,2408,495,0,266,67,0,162,Staci L. Weaver,Staci
COLLI,248,PCT 248,2261,194,0,76,70,0,48,Staci L. Weaver,Staci
COLLI,249,PCT 249,4715,350,0,161,104,0,85,Staci L. Weaver,Staci
COLLI,250,PCT 250,3969,1133,0,422,486,0,225,Tamara Thomas,Tamara
COLLI,251,PCT 251,2530,324,0,145,86,0,93,Staci L. Weaver,Staci
COLLI,252,PCT 252,3197,338,0,147,73,0,118,Staci L. Weaver,Staci
COLLI,253,PCT 253,3144,483,0,197,203,0,83,Tamara Thomas,Tamara
COLLI,254,PCT 254,1264,6,0,3,3,0,0,Staci L. Weaver,Staci
COLLI,255,PCT 255,3322,479,0,234,95,0,150,Staci L. Weaver,Staci
COLLI,256,PCT 256,820,14,0,6,5,0,4,Staci L. Weaver,Staci
COLLI,257,PCT 257,1423,12,0,6,4,0,2,Staci L. Weaver,Staci
COLLI,258,PCT 258,2948,431,0,158,139,0,135,Staci L. Weaver,Staci
COLLI,259,PCT 259,3591,524,0,214,178,0,132,Staci L. Weaver,Staci
COLLI,260,PCT 260,447,78,0,38,14,0,25,Staci L. Weaver,Staci
COLLI,261,PCT 261,3101,588,0,314,139,0,135,Staci L. Weaver,Staci
COLLI,262,PCT 262,2918,289,0,134,117,0,37,Staci L. Weaver,Staci
COLLI,263,PCT 263,2113,215,0,100,52,0,63,Staci L. Weaver,Staci
COLLI,264,PCT 264,3853,625,0,303,177,0,144,Staci L. Weaver,Staci
COLLI,265,PCT 265,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,266,PCT 266,60,8,0,4,4,0,1,Staci L. Weaver,Staci
COLLI,267,PCT 267,19,2,0,1,1,0,0,Staci L. Weaver,Staci
COLLI,268,PCT 268,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,269,PCT 269,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,270,PCT 270,2,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,271,PCT 271,985,106,0,39,49,0,19,Tamara Thomas,Tamara
COLLI,272,PCT 272,1,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,273,PCT 273,271,17,0,10,4,0,4,Staci L. Weaver,Staci
